店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所
街のCafe,豊中市,カフェ,,,1,,-,-,大阪府豊中市赤阪1-1-9-1
もくもく亭 豊中店,豊中市,焼肉,,3.16,35,731,"￥4,000～￥4,999",-,大阪府豊中市赤阪1丁目1-17
BAR GEAR,豊中市,バー,,3.02,1,53,"￥2,000～￥2,999",-,大阪府豊中市旭丘5-104
ガスト 豊中旭丘店,豊中市,ファミレス,,3.03,18,78,"￥1,000～￥1,999",～￥999,大阪府豊中市旭丘4-130
キャコタ,豊中市,たこ焼き、お好み焼き,,3.06,9,103,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市旭丘5-105
米俵,豊中市,中華料理、食堂、喫茶店,,3.03,5,58,-,-,大阪府豊中市旭丘1-12
いかり 豊中店,豊中市,コンビニ・スーパー,,3.07,4,18,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市旭丘1-12
Cafe claps,園田駅 887m,カフェ,,3.12,15,387,-,"￥1,000～￥1,999",大阪府豊中市今在家町8-6
ペコーラパーラ,豊中市,カフェ、ケーキ,,3.21,30,929,-,"￥1,000～￥1,999",大阪府豊中市今在家町20-6
鮨 こだん,少路（大阪モノレール）駅 523m,寿司,,3.48,23,1542,"￥10,000～￥14,999","￥10,000～￥14,999",大阪府豊中市上野坂2-1-19
ギュルリーシュシュ,少路（大阪モノレール）駅 592m,カフェ,,,21,,-,-,大阪府豊中市上野坂1-4-10
Bleu Bar,少路（大阪モノレール）駅 494m,バー,,3.04,3,67,"￥3,000～￥3,999",-,大阪府豊中市上野坂2-1-7 パルシェ上野坂 1F
凡夫 ウエノサカ,少路（大阪モノレール）駅 493m,居酒屋,,3.14,7,324,"￥6,000～￥7,999",-,大阪府豊中市上野坂2-1-7 パルシェ上野坂 104
凡夫 ウエノサカ,少路（大阪モノレール）駅 501m,居酒屋、日本料理,,3.14,12,402,"￥3,000～￥3,999",-,大阪府豊中市上野坂2-1-7 パルシェ上野坂 1F
cafe 308,少路（大阪モノレール）駅 495m,カフェ,,3.02,3,514,-,-,大阪府豊中市上野坂2-1-7 パルシェ上野坂 202
きまぐれ,少路（大阪モノレール）駅 472m,バー,,,10,,-,-,大阪府豊中市上野坂2-3-3 エルベラーノ上野坂
カルチャー&ブックカフェ ピコ,少路（大阪モノレール）駅 472m,カフェ,,3.02,1,14,-,-,大阪府豊中市上野坂2-3-3 エルベラーノ上野坂 1F
シープ・シープ,豊中市,パン,,3.36,48,1036,～￥999,-,大阪府豊中市上野西2丁目19-3
お出汁の薫る家庭料理 あきゑ,豊中駅 979m,居酒屋,,3.03,6,150,-,-,大阪府豊中市上野西2-2-30
スンドゥブ専門店 K.A.M,少路（大阪モノレール）駅 500m,韓国料理,,3.47,255,9398,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市上野西3-17-18
54closet,少路（大阪モノレール）駅 752m,ケーキ,,3.06,4,117,-,～￥999,大阪府豊中市上野西3-13-62
満留美,豊中市,日本料理、寿司,,3.1,9,126,-,-,大阪府豊中市上野西1-13-7
北摂ポテトsecond,豊中市,惣菜・デリ,,3.04,3,143,-,-,大阪府豊中市上野西1-13-12 豊高前ビル 1F
ルプリュス,少路（大阪モノレール）駅 754m,カフェ、ワインバー,,3.13,19,511,-,-,大阪府豊中市上野西3-13-62
創作和食とよ吉,豊中市,創作料理、日本料理,,3.07,12,400,"￥5,000～￥5,999","￥2,000～￥2,999",大阪府豊中市上野西1-8-17 エルパティオ・コイデ 2F
やすまさ,豊中駅 977m,日本料理,,3.06,11,313,"￥6,000～￥7,999",-,大阪府豊中市上野西1-1-25
ファミリーマート 豊中上野西店,豊中市,コンビニ・スーパー,,3.02,1,2,-,-,大阪府豊中市上野西2-4-20
みうらんど,少路（大阪モノレール）駅 700m,イタリアン、カフェ、バー,,3.07,23,566,-,"￥1,000～￥1,999",大阪府豊中市上野西3-13-15
餃子 さわ藤,少路（大阪モノレール）駅 766m,餃子,,3.14,10,406,"￥1,000～￥1,999",～￥999,大阪府豊中市上野西3-13-63
いと,少路（大阪モノレール）駅 615m,カフェ,,,50,,-,-,大阪府豊中市上野西3-14-14 上野西三番館 2F
HONEY LABO,豊中市,スイーツ、パン,,3,2,22,-,-,大阪府豊中市上野西1-10-9A
ラ・メゾンブランシュ,豊中市,フレンチ、野菜料理,豊中の郊外に佇む、モダンな一軒家レストラン◇シェフにすべてを委ねるフレンチ&ワインを堪能,3.5,133,8055,"￥10,000～￥14,999","￥4,000～￥4,999",大阪府豊中市上野東1-4-14
くしかつ専門店 オリオ,豊中市,串揚げ、居酒屋、日本料理,,3.07,14,421,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府豊中市上野東2-2-50 和田マンション 1F
鮨うえの,少路（大阪モノレール）駅 993m,寿司,リニューアルオープンのお知らせ,3.58,111,7473,"￥15,000～￥19,999","￥10,000～￥14,999",大阪府豊中市上野東3-1-5
Pizzeria Attivita,少路（大阪モノレール）駅 673m,ピザ,,3.25,28,1830,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市上野東3-18-1 エッディータウン 1F
島津寿司,少路（大阪モノレール）駅 548m,寿司,,,6,,-,-,大阪府豊中市上野東3-18-21
& aere Coffee Roasters,少路（大阪モノレール）駅 526m,カフェ、サンドイッチ,,3.5,112,5083,-,"￥2,000～￥2,999",大阪府豊中市上野東3-18-28
AT THE 21,少路（大阪モノレール）駅 548m,お好み焼き、焼きそば,,3.62,705,29425,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市上野東3-18-19
ボン,少路（大阪モノレール）駅 895m,喫茶店,,,4,,-,-,大阪府豊中市上野東2-11-18
紫野,少路（大阪モノレール）駅 920m,串揚げ,,3.09,17,659,"￥5,000～￥5,999",-,大阪府豊中市上野東3-5-39
寿司上野坂,少路（大阪モノレール）駅 651m,寿司、日本料理,,3.6,131,10056,"￥10,000～￥14,999","￥4,000～￥4,999",大阪府豊中市上野東3-10-35
やどりぎ,少路（大阪モノレール）駅 686m,居酒屋,,3.04,4,119,-,-,大阪府豊中市上野東3-17-30
なりまつ,豊中市,寿司、天ぷら,,3.26,38,1607,"￥8,000～￥9,999","￥2,000～￥2,999",大阪府豊中市上野東2-1-1 上野一番館 1F
KOJIBAR,豊中市,バル、ワインバー、イタリアン,,3.04,6,288,"￥4,000～￥4,999","￥2,000～￥2,999",大阪府豊中市上野東2-2-47 B101
大阪塩系 しおゑもん 豊中店,少路（大阪モノレール）駅 582m,ラーメン、つけ麺,,3.34,72,1257,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市上野東3-18-13
日本料理　翠徳亭,少路（大阪モノレール）駅 655m,日本料理,,3.19,27,561,"￥10,000～￥14,999","￥4,000～￥4,999",大阪府豊中市上野東3-18-1
バターフレーク 上野店,豊中市,パン、サンドイッチ,,3.11,20,206,-,-,大阪府豊中市上野東2-2-32
日本料理 とみなが,豊中市,日本料理,落ち着いた雰囲気の店内で、鮮魚などを使った時季ならではの味わいをゆっくりと満喫,3.08,18,541,"￥8,000～￥9,999","￥4,000～￥4,999",大阪府豊中市上野東2-2-47 スタイルビル 2F
あほや 上野店,豊中市,たこ焼き,,3.01,7,65,-,-,大阪府豊中市上野東2-2-50
創作割烹 たかの,豊中市,創作料理,,3.55,49,2882,"￥8,000～￥9,999","￥3,000～￥3,999",大阪府豊中市上野東2-2-47 スタイルビル102
シャトレーゼ 豊中店,豊中市,ケーキ,,3.04,20,108,-,-,大阪府豊中市上野東1-4-6
NikitA,少路（大阪モノレール）駅 656m,バー,,,9,,"￥2,000～￥2,999",-,大阪府豊中市上野東3-18-1
居酒屋上野坂,少路（大阪モノレール）駅 655m,居酒屋,,,1,71,-,-,大阪府豊中市上野東3-18-1
ショコラティエ ポワン,豊中市,チョコレート、ケーキ,,3.02,6,437,-,-,大阪府豊中市上野東2-17-47 Point 2F
cafe 43view,豊中市,カフェ,,3.06,4,120,-,-,大阪府豊中市上野東2-2-45
てっぱん屋　なかい,少路（大阪モノレール）駅 856m,お好み焼き、鉄板焼き、日本酒バー,,3.02,2,90,"￥4,000～￥4,999",-,大阪府豊中市上野東3-17-1
アクアリウム　カインド,少路（大阪モノレール）駅 717m,カフェ,,,1,19,-,-,大阪府豊中市上野東3-17-51
Flat,少路（大阪モノレール）駅 613m,ケーキ,,3.53,156,3603,"￥1,000～￥1,999",-,大阪府豊中市上野東3-18-8
ほっかほっか亭 豊中永楽荘店,桜井駅 829m,弁当,,3.01,3,15,-,-,大阪府豊中市永楽荘2-1-6 パインズハイム 1F
nannan cafe,桜井駅 893m,カフェ,,,1,,-,-,大阪府豊中市永楽荘3-1-13
ふみ,桜井駅 831m,喫茶店,,,3,,-,-,大阪府豊中市永楽荘2-1-13
じゅらく,牧落駅 893m,パン、スイーツ,,3.09,20,685,-,-,大阪府豊中市永楽荘4-1-35
串かつ 漣,桜井駅 831m,串揚げ,,,,,-,-,大阪府豊中市永楽荘2-1-6 パインズハイム 102
サギタリュウス,桜井駅 833m,喫茶店、食堂,,3.06,8,130,-,～￥999,大阪府豊中市永楽荘1-3-15
あぐーしゃぶしゃぶ ビーチ,神崎川駅 402m,鍋、しゃぶしゃぶ,,3.02,1,10,-,-,大阪府豊中市大島町3-1-5 徳田ビル 101
伊達屋,神崎川駅 403m,居酒屋,,3.06,5,57,"￥1,000～￥1,999",-,大阪府豊中市大島町3
ロンドン,神崎川駅 793m,喫茶店,,3.06,5,75,-,-,大阪府豊中市大島町1-2-7
はな,神崎川駅 807m,お好み焼き,,3.04,10,88,-,～￥999,大阪府豊中市大島町3-6
もぐもぐ,神崎川駅 769m,弁当,,3.04,4,47,-,～￥999,大阪府豊中市大島町1-2-10
大福,神崎川駅 848m,食堂,,,1,3,-,-,大阪府豊中市大島町1-2-28
酒蔵えるく,神崎川駅 871m,居酒屋,,3.02,1,4,-,-,大阪府豊中市大島町1-1-5
アクセル,神崎川駅 323m,食堂、カフェ,,,1,3,-,-,大阪府豊中市大島町3-10-2
シムランキッチン 豊中市,神崎川駅 804m,ネパール料理、インド料理、インドカレー,,,1,24,"￥1,000～￥1,999",～￥999,大阪府豊中市大島町1-2-6
多幸作,神崎川駅 815m,寿司,,3.05,5,59,-,-,大阪府豊中市大島町1-2-15
創作串焼 Garage 豊中駅南口店,豊中駅 247m,居酒屋、焼き鳥、しゃぶしゃぶ,豊中駅│12月1日オープン！自慢のお肉と旬魚旬菜の創作串と野菜しゃぶしゃぶを楽しめる♪,3.05,4,156,"￥4,000～￥4,999",-,大阪府豊中市岡上の町3-2-3
ラ・ヴェリータ,豊中駅 517m,イタリアン、馬肉料理、ピザ,イタリアで腕を磨いたシェフが織り成す料理と200種類のワインのマリアージュ◆団体様大歓迎,3.09,54,2048,"￥6,000～￥7,999","￥1,000～￥1,999",大阪府豊中市岡上の町4-1-7 パヴィヨン豊中 B1F
御料理あきやま,岡町駅 409m,日本料理、海鮮、鍋,,3.33,48,2587,"￥6,000～￥7,999","￥1,000～￥1,999",大阪府豊中市岡上の町1-4-7
ホルモン食堂 八,岡町駅 410m,ホルモン、焼肉,,3.02,2,131,"￥2,000～￥2,999",-,大阪府豊中市岡上の町1-4-7
RelisH,豊中駅 359m,カフェ,,3.02,1,60,-,-,大阪府豊中市岡上の町3-7-10
柴藤,岡町駅 345m,弁当,,3.05,3,23,-,-,大阪府豊中市岡上の町1-3-12
ニジイロ食堂,豊中駅 541m,食堂、居酒屋,,3.44,146,6327,"￥5,000～￥5,999",-,大阪府豊中市岡上の町1-9-1
阪急OASIS 豊中店,豊中駅 363m,コンビニ・スーパー,,3.01,3,7,-,-,大阪府豊中市岡上の町2-2-3
トリコ 101,豊中駅 351m,ビストロ、バル,,3.01,3,192,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市岡上の町4-5-34
空飛ぶうどん やまぶき家,豊中駅 346m,うどん、カレーうどん,,3.74,797,22884,"￥1,000～￥1,999",～￥999,大阪府豊中市岡上の町2-2-5
ヒルトップ,豊中駅 469m,喫茶店,,,1,,～￥999,～￥999,大阪府豊中市岡上の町4-1-26
居酒屋 まる,豊中駅 390m,居酒屋,,,1,7,"￥3,000～￥3,999",-,大阪府豊中市岡上の町2-5-16
豊中麺哲,豊中駅 339m,ラーメン,,3.7,766,21872,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市岡上の町2-2-6
EDOコロッケ,豊中駅 258m,コロッケ,,3.02,6,46,-,-,大阪府豊中市岡上の町3-2-4
Crêperie HanaHana,豊中駅 389m,クレープ・ガレット,,3.02,1,13,-,-,大阪府豊中市岡上の町2-5-16
vege&fruit 梟,岡町駅 427m,カフェ,,3.1,11,245,-,"￥1,000～￥1,999",大阪府豊中市岡上の町1-4-9
ブン（豊）,岡町駅 75m,焼き鳥,岡町駅1分■朝引き地鶏の焼鳥やお鍋を厳選日本酒と堪能◎アットホームな空間でゆったりと乾杯を,3.06,11,399,"￥3,000～￥3,999",-,大阪府豊中市岡町1-24
喫茶テラス,岡町駅 242m,喫茶店,,,18,,-,-,大阪府豊中市岡町5-12-103
GENE's kitchen,岡町駅 176m,弁当,,,8,,-,-,大阪府豊中市岡町2-3
土手嘉 岡町本店,岡町駅 120m,うどん、そば、寿司,,3.29,71,1748,-,～￥999,大阪府豊中市岡町8-16
B-CLUB,岡町駅 144m,喫茶店,,3.05,3,20,-,-,大阪府豊中市岡町9-2
麺舞台,岡町駅 301m,ラーメン,,3.27,62,780,"￥1,000～￥1,999",～￥999,大阪府豊中市岡町4-10
日和,岡町駅 105m,和菓子,,3,4,34,-,-,大阪府豊中市岡町8-17
サイゼリヤ 阪急岡町駅,岡町駅 288m,ファミレス、イタリアン、パスタ,,3.04,28,145,～￥999,～￥999,大阪府豊中市岡町3-25
